iter	Passed	Remaining
630	2020	275
631	2024	272
632	2027	269
633	2031	265
634	2034	262
635	2037	259
636	2039	256
637	2043	252
638	2047	249
639	2050	246
640	2053	243
641	2056	240
642	2060	237
643	2063	233
644	2066	230
645	2070	227
646	2073	224
647	2076	221
648	2080	217
649	2083	214
650	2086	211
651	2089	208
652	2093	205
653	2096	201
654	2099	198
655	2102	195
656	2106	192
657	2109	189
658	2112	185
659	2115	182
660	2119	179
661	2122	176
662	2125	173
663	2128	169
664	2132	166
665	2135	163
666	2139	160
667	2142	157
668	2145	153
669	2148	150
670	2152	147
671	2155	144
672	2158	141
673	2161	137
674	2164	134
675	2168	131
676	2171	128
677	2174	125
678	2177	121
679	2180	118
680	2183	115
681	2187	112
682	2190	109
683	2193	105
684	2196	102
685	2199	99
686	2202	96
687	2206	92
688	2209	89
689	2212	86
690	2215	83
691	2218	80
692	2221	76
693	2224	73
694	2228	70
695	2231	67
696	2234	64
697	2237	60
698	2240	57
699	2243	54
700	2246	51
701	2250	48
702	2253	44
703	2256	41
704	2259	38
705	2263	35
706	2266	32
707	2269	28
708	2272	25
709	2275	22
710	2279	19
711	2282	16
712	2285	12
713	2288	9
714	2291	6
715	2294	3
716	2297	0
